Nomor,Tanggal,Kategori,Soal,Jawaban
8,13 Maret 2026,"Statistik Inferensial,ES4E",PEKS246025 - Statistik Inferensial (2 SKS) ES4E,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTQ9denP_sDjzvsXd-apmDDz0x93V9khPce5QefG4fS3uCuCxjzvroG7RKGGhvfdhV_7vjm1w12F1NB/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
7,13 Maret 2026,"Statistik Inferensial,ES4D",PEKS246025 - Statistik Inferensial (2 SKS) ES4D,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRKCKlexpNN9T9I0CJlrim3-dYRZaxfmdtoZmvndFWlpXvFBuznIVRPxaQcuzvMeGiYLxhTOTdOiGBY/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
6,13 Maret 2026,"Statistik Inferensial,ES4F",PEKS246025 - Statistik Inferensial (2 SKS) ES4F,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRRrMGk299UdGoO6d8-iNUCQqJNX_J_AAyP8EpcRu0zuXXcZooYrfZ3x5fF_dYwie52k-1lP-UzYUi3/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
5,13 Maret 2026,"Statistik,MBS2H",FEBI246011 - Statistik (2 SKS) MBS2H,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSnJneupoWqJk5sh0e9P8BRrExLm8GJ3ttMgoJfe8Md8DNzIoaJQsOEpxTx1vCIVuOygcq0qnYw_y13/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
4,13 Maret 2026,"Statistik,MBS2G",FEBI246011 - Statistik (2 SKS) MBS2G,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQa6df7cEkpdv9QkV3EPsKrVqP6d0qHKbiFgb6xm_bZEwg8FTmQYL9GWU7wwFfinytMuUwXzlSxQ90H/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
3,13 Maret 2026,"Statistik,PWS2A",FEBI246011 - Statistik (2 SKS) PWS2A,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTZfwXE8Pb6gUBgcqwMd_jbynYh8BwkmOFuL7LoAp9ZzPSucrc_cLDa-C3F-biCRLTdpU0Q9RHagekY/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
2,12 Maret 2026,"Ekonometri**,TMT6C",PTMT6042 - Ekonometri** (2 SKS) TMT6C,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSByDCcVSRbfj63PfqQ0mxntexSOhTmWhubyVMsfvLtRs5rO0Q4sxoza6BB0vm_BiUBTEGAxqgqg8Zz/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
1,12 Maret 2026,"Matematika Ekonomi II,PS 4A",PPBS246010 - Matematika Ekonomi II (3 SKS) PS4A,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTc46PRFV4zr3faiacFigeLlN88pTSNzX-ivcUNyni75GtsJbbjLPpnJfBtWAXvzt09ICITKPbqHSMc/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
