Nomor,Tanggal,Kategori,Soal,Jawaban
8,01-Sep-26,"Konsep SDGs,SD1A","FKST266002 - Konsep SDGs (2 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbyMXxjPXiUjMrih2yHiRpVaUy2pKRE3zKEozM4QSDejTk0GSJfD_EGDX6immFjaTSPB/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRGQ1FyMpnk44KGLS5JZgQnyKd1VVQjpPhoyBPre9wDTUvdsy9f7O8-Ar4RY4FCXlHGa0Axeiqh0Tkq/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
7,02-Sep-26,"Matematika Bisnis,MBS3F","PMBS246007 - Matematika Bisnis (2 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbztGwWE_Acs4gc07R7oEfaSIkON-C4LMHrk3DET0uu6MFNTE3p8Ql108X3GDIqYVYXoHg/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vStZjPPQbrfNMt0ZHYl_NDo-Z4Rojd4fFsHfYG8DF6em3VuyGrsRznKuuHGQ82B85Jc0qMNaKW42GMR/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
6,03-Sep-26,"Matematika Bisnis,MBS3G","PMBS246007 - Matematika Bisnis (2 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbztGwWE_Acs4gc07R7oEfaSIkON-C4LMHrk3DET0uu6MFNTE3p8Ql108X3GDIqYVYXoHg/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQAqx7CsZP-zi15NUelyILcpf_v6_tO69GTLk8bZk5tfWK48i8ilJ4vg6Im175X8SdxkP1f9XRnPYFQ/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
5,04-Sep-26,"Matematika Bisnis,MBS3H","PMBS246007 - Matematika Bisnis (2 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbztGwWE_Acs4gc07R7oEfaSIkON-C4LMHrk3DET0uu6MFNTE3p8Ql108X3GDIqYVYXoHg/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSj03OWYSdyHO-zje5xxgC3mBXjXftMY1jmjhxOy5mfAvX3tYmlW2efDGB3F3G9vKQg6izCjoOCX8av/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
4,05-Sep-26,"Matematika Ekonomi,ASY1C","PAKS246001 - Matematika Ekonomi (2 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbyMXxjPXiUjMrih2yHiRpVaUy2pKRE3zKEozM4QSDejTk0GSJfD_EGDX6immFjaTSPB/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSbwy0fmWgVMeaY-ynQTaFX1rEyPX5hY0Ld0jGEkTSkrUoGbZHlTen6JQ3XalGwQmwh4WFAWL8UtrGX/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
3,06-Sep-26,"Ekonometrika,ES5C","PEKS246026 - Ekonometrika
<br><a href=""https://script.google.com/macros/s/AKfycbwQ0H7r5TNsRPQCytm1lMWR30HGsmw01wip8KwLp2B9EktvS9lq-OqM0iSWT6kyPdbK/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTcG17-ZdipLJAsN2ReokRLy3-PdfI4CSxf30LU6C-BQqz81kMd3T4DexmcYCoYOewML_ve20AmDB7c/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
2,07-Sep-26,"Ekonometrika,MKS5D","PMKS246024 - Ekonometrika (3 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbwQ0H7r5TNsRPQCytm1lMWR30HGsmw01wip8KwLp2B9EktvS9lq-OqM0iSWT6kyPdbK/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQeiX0iiyZHXm8f_A2eiM22MLXpm_rzdPQYjNJCFLiV3tRZqzEhl-vNZXq4kPt-YIjY1sRvhn40KS7R/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
1,08-Sep-26,"Matematika Ekonomi Syariah,TMT5E","PTMT246039 - Matematika Ekonomi Syariah (2 SKS)
<br><a href=""https://script.google.com/macros/s/AKfycbyMXxjPXiUjMrih2yHiRpVaUy2pKRE3zKEozM4QSDejTk0GSJfD_EGDX6immFjaTSPB/exec"">KIRIM TUGAS</a>
<br><a href=""https://drive.google.com/drive/u/2/folders/19pRll2P3XSlRQF-5R0oRA4y4Uo3G6_tP"">BUKU KULIAH</a>","<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRo-VOXmnl80BQ9hBSp3_ysM3aXBLU9IrLAAE3Q3xaWTsFxkU1vMWdPn8hkXEGZ-fiyIrdd9KgoAMrw/pubhtml?widget=true&amp;headers=false"" width=""100%"" height=""300""></iframe>"
